solver,step,time_s,work_units,initial_residual,final_residual,final_relative_residual,convergence_factor,sec_per_work_unit_from_campaign,estimated_pressure_time_s
MG3V,99,0.00080648276270366723,1.0,8998.5964765623212,2143.3178353905678,4.3121253404612861e-05,0.23818357017930938,0.0014682074581552514,0.0014682074581552514
MG3V,100,0.00081679092242588943,1.0,8784.6475796923041,2074.7944253813475,4.1748338264145082e-05,0.2361841390402164,0.0014682074581552514,0.0014682074581552514
MG3V,101,0.00082709908214811164,1.0,8581.8408609330654,2014.3941443059593,4.0538407318909542e-05,0.23472751090923202,0.0014682074581552514,0.0014682074581552514
MG3V,102,0.00083740724187033385,1.0,8391.6020077914,1961.7548139039427,3.9484250716544744e-05,0.23377595983252075,0.0014682074581552514,0.0014682074581552514
MG3V,103,0.00084771540159255605,1.0,8213.7879886999726,1915.4601610321552,3.8557432791328888e-05,0.2332005846349246,0.0014682074581552514,0.0014682074581552514
MG3V,104,0.00085802356131477826,1.0,8045.437105409801,1875.3912672381848,3.7755618542503506e-05,0.23309998483204353,0.0014682074581552514,0.0014682074581552514
MG3V,105,0.00086833172103700047,1.0,7887.196270108223,1842.3214085400105,3.7094434062450758e-05,0.23358381678952833,0.0014682074581552514,0.0014682074581552514
MG3V,106,0.00087863988075922268,1.0,7739.3409563302994,1814.6652683187276,3.6542015462628014e-05,0.23447284188125145,0.0014682074581552514,0.0014682074581552514
MG3V,107,0.00088894804048144488,1.0,7599.3523333519697,1790.3803522251546,3.6057273556615129e-05,0.23559643949755418,0.0014682074581552514,0.0014682074581552514
MG3V,108,0.00089925620020366709,1.0,7465.5810785740614,1769.209112284705,3.5635050452853911e-05,0.2369821040939826,0.0014682074581552514,0.0014682074581552514
MG3V,109,0.0009095643599258893,1.0,7338.1101141944528,1751.5808325912803,3.528402086653558e-05,0.23869644981248167,0.0014682074581552514,0.0014682074581552514
MG3V,110,0.00091987251964811151,1.0,7217.6366751268506,1737.0388780180365,3.4995014373151086e-05,0.24066587945665854,0.0014682074581552514,0.0014682074581552514
MG3V,111,0.00093018067937033371,1.0,7102.4973210766912,1722.442824319005,3.4704780273315623e-05,0.24251228074492173,0.0014682074581552514,0.0014682074581552514
MG3V,112,0.00094048883909255592,1.0,6988.7283480390906,1707.1148645821959,3.4399662804475571e-05,0.24426687940463176,0.0014682074581552514,0.0014682074581552514
MG3V,113,0.00095079699881477813,1.0,6876.3895043432713,1689.3493538610637,3.4045286848482633e-05,0.24567388929816081,0.0014682074581552514,0.0014682074581552514
MG3V,114,0.00096110515853700034,1.0,6763.686632424593,1669.8260099198669,3.3655340101695188e-05,0.24688104293815885,0.0014682074581552514,0.0014682074581552514
MG3V,115,0.00097141331825922254,1.0,6652.2258058637381,1649.6080280169845,3.3251246725247529e-05,0.24797835734362841,0.0014682074581552514,0.0014682074581552514
MG3V,116,0.00098172147798144486,1.0,6543.0490472018719,1627.0158847570419,3.2799148828853025e-05,0.24866325668960615,0.0014682074581552514,0.0014682074581552514
MG3V,117,0.00099202963770366717,1.0,6432.6367338970304,1600.7084890045226,3.2271997675230898e-05,0.24884173554672018,0.0014682074581552514,0.0014682074581552514
MG3V,118,0.0010023377974258895,1.0,6320.114822216332,1570.6905770581216,3.1669870663298149e-05,0.24852247486657422,0.0014682074581552514,0.0014682074581552514
MG3V,119,0.0010126459571481118,1.0,6206.2413519099355,1537.594559347257,3.1005503326567117e-05,0.24774972034789963,0.0014682074581552514,0.0014682074581552514
MG3V,120,0.0010229541168703341,1.0,6092.094642020762,1502.7960701361299,3.0306625303781713e-05,0.2466796985999628,0.0014682074581552514,0.0014682074581552514
MG3V,121,0.0010332622765925564,1.0,5979.0617390871048,1466.5108703095466,2.9577583685320212e-05,0.24527441500101593,0.0014682074581552514,0.0014682074581552514
MG3V,122,0.0010435704363147788,1.0,5866.8090087994933,1428.0114494021982,2.8803700745674999e-05,0.24340513680611664,0.0014682074581552514,0.0014682074581552514
MG3V,123,0.0010538785960370011,1.0,5753.7267728820443,1386.9806682188064,2.7978571584582649e-05,0.24105779140500744,0.0014682074581552514,0.0014682074581552514
MG3V,124,0.0010641867557592234,1.0,5640.2383161336184,1344.8659449797124,2.7131387846964019e-05,0.23844133343316201,0.0014682074581552514,0.0014682074581552514
MG3V,125,0.0010744949154814457,1.0,5528.5682352408767,1302.9825795758516,2.6288686226880956e-05,0.23568173967180517,0.0014682074581552514,0.0014682074581552514
MG3V,126,0.001084803075203668,1.0,5419.6225711852312,1262.2333593349904,2.5468688850030861e-05,0.23290060198028686,0.0014682074581552514,0.0014682074581552514
MG3V,127,0.0010951112349258903,1.0,5314.3747150525451,1223.6873737685382,2.4692979432320027e-05,0.23025989686096857,0.0014682074581552514,0.0014682074581552514
MG3V,128,0.0011054193946481126,1.0,5213.3663557544351,1186.1365978103131,2.3937194122472489e-05,0.22751836661182911,0.0014682074581552514,0.0014682074581552514
MG3V,129,0.001115727554370335,1.0,5114.2755855843425,1150.0408569388092,2.3210621788906292e-05,0.22486876932882544,0.0014682074581552514,0.0014682074581552514
MG3V,130,0.0011260357140925573,1.0,5018.4058551043272,1116.4879699125886,2.2535229742580124e-05,0.22247861216266215,0.0014682074581552514,0.0014682074581552514
MG3V,131,0.0011363438738147796,0.0,4927.2807692736387,4927.2807692736387,9.9460164778123193e-05,1,0.0014682074581552514,0.0
MG3V,132,0.0011466520335370019,1.0,10868.750154145062,2447.0868208147585,4.9401863489543028e-05,0.22514887048733037,0.0014682074581552514,0.0014682074581552514
MG3V,133,0.0011569601932592242,0.0,4561.7807369381189,4561.7807369381189,9.2097531918213465e-05,1,0.0014682074581552514,0.0
MG3V,134,0.0011672683529814465,1.0,9244.642792545259,2360.2648900821805,4.7655759129757194e-05,0.25531163756651176,0.0014682074581552514,0.0014682074581552514
MG3V,135,0.0011775765127036689,0.0,4902.6915667206049,4902.6915667206049,9.8994835339934913e-05,1,0.0014682074581552514,0.0
MG3V,136,0.0011878846724258912,1.0,9766.7434264197946,2175.9046809449792,4.3940044056571043e-05,0.22278712421778063,0.0014682074581552514,0.0014682074581552514
MG3V,137,0.0011981928321481135,0.0,4246.4702048078179,4246.4702048078179,8.575667867864285e-05,1,0.0014682074581552514,0.0
MG3V,138,0.0012085009918703358,1.0,8662.4461107477546,1837.5091413632035,3.7111466091500781e-05,0.21212358701814621,0.0014682074581552514,0.0014682074581552514
MG3V,139,0.0012188091515925581,0.0,4167.5131912752986,4167.5131912752986,8.4173765276244483e-05,1,0.0014682074581552514,0.0
